a ChatFormat
bbr$e StrongholdPieces$Library
bbr$f StrongholdPieces$PieceChance
bbr$g StrongholdPieces$PortalRoom
bbr$h StrongholdPieces$PrisonRoom
bbr$i StrongholdPieces$RightTurn
bbr$j StrongholdPieces$RoomCrossing
bbr$k StrongholdPieces$BlockTypeSelector
bbr$l StrongholdPieces$StairsDown
bbr$m StrongholdPieces$Start
bbr$n StrongholdPieces$Stairs
bbr$o StrongholdPieces$StraightStairs
bbr$p StrongholdPieces$Piece
bbr$p$a StrongholdPieces$Piece$EntryDoor
bbs Structure
bbt Structures
bbu StructureNBTSerializer
bbv StructurePiece
bbv$a StructurePiece$BlockTypeSelector
bbw StructureStart
bbx NBTLoadedStructurePiece
bby VillageStructure
bby$a VillageStructure$Start
bbz VillagePieces
bbz$a VillagePieces$BigHouse
bbz$b VillagePieces$DoubleFarm
bbz$c VillagePieces$Farm
bbz$d VillagePieces$Light
bbz$e VillagePieces$PieceChance
bbz$f VillagePieces$ButcherShop
bbz$g VillagePieces$House
bbz$h VillagePieces$SmallHouse
bbz$i VillagePieces$Church
bbz$j VillagePieces$Blacksmith
bbz$k VillagePieces$Start
bbz$l VillagePieces$Road
bbz$m VillagePieces$House2
bbz$n VillagePieces$VillagePiece
bbz$o VillagePieces$AbstractRoad
bbz$p VillagePieces$Well
bc AdvancementTriggerVillagerTrade
bc$a AdvancementTriggerVillagerTrade$Checker
bc$b AdvancementTriggerVillagerTrade$CheckerInstance
bca WoodlandMansionStructure
bca$a WoodlandMansionStructure$Start
bcb WoodlandMansionPieces
bcb$a WoodlandMansionPieces$FirstFloor
bcb$b WoodlandMansionPieces$RoomSet
bcb$c WoodlandMansionPieces$RoomGridManager
bcb$d WoodlandMansionPieces$Placer
bcb$e WoodlandMansionPieces$PlacementInfo
bcb$f WoodlandMansionPieces$SecondFloor
bcb$g WoodlandMansionPieces$RoomGrid
bcb$h WoodlandMansionPieces$ThirdFloor
bcb$i WoodlandMansionPieces$Piece
bcd NBTLoadedStructureBlockProcessor
bce NBTLoadedStructureManager
bcf NBTLoadedStructureInfo
bcg NBTLoadedStructureProcessor
bch NBTLoadedStructure
bch$a NBTLoadedStructure$Palette
bch$b NBTLoadedStructure$BlockData
bch$c NBTLoadedStructure$EntityData
bcm PerlinNoiseGenerator
bcn OctaveNoiseGenerator
bco DefaultNoiseGenerator
bcr NoiseGeneratorHelper
bcs NoiseGenerator
bcu DecorativeMaterial
bcv TransparentMaterial
bcw LiquidMaterial
bcx Material
bcy MapColour
bcz PortalMaterial
bd AdvancementTriggerUseEnderEye
bd$a AdvancementTriggerUseEnderEye$Checker
bd$b AdvancementTriggerUseEnderEye$CheckerInstance
bda PistonReaction
bdc DeepOceanPlotter
bdd SpecialPlotter
bdd$a SpecialPlotter$Type
bde IslandPlotter
bdf MushrromIslandPlotter
bdg TopSoilPlotter
bdh DesertPlotter
bdi BiomePlotter
bdk FuzzyZoomPlotter
bdm IntCache
bdn RandomizedPlotter
bdo LandscapePlotter
bdp PlainsPlotter
bdq HillsPlotter
bdr IcePlainsPlotter
bds RiverStartPlotter
bdt RiverPlotter
bdu MixedRiverPlotter
bdv MushroomShorePlotter
bdw SmoothPlotter
be AdvancementTriggerUseTotem
be$a AdvancementTriggerUseTotem$Checker
be$b AdvancementTriggerUseTotem$CheckerInstance
bea VoronoiZoomPlotter
beb ZoomPlotter
bee PathStack
bef PathType
beg FlyingMovementPathfinder
beh PathPoint
bei MovementPathfinder
bej Path
bek Pathfinder
bel WaterMovementPathfinder
bem GroundMovementPathfinder
beq ScoreboardSaver
ber NBTSerializer
bes MapIcon
bes$a MapIcon$Type
bet MapRender
bet$a MapRender$PlayerTracker
bew ChunkLoadingNBTDataManager
bex LegacyChunkConverter
bey WorldWrapperData
bez NBTDataManager
bfa LegacyWorldConverter
bfb WorldData
bfc DataManager
bfe ChunkConverter
bfi PlayerDataHolder
bfk MiscWorldNBTStorage
bfl LootTables
bfm EmptyLootPoolEntry
bfn ItemLootPoolEntry
bfo LootPool
bfo$a LootPool$Serializer
bfp LootPoolEntry
bfp$a LootPoolEntry$Serializer
bfq LootTable
bfq$a LootTable$Serializer
bfr LootTableInfo
bfr$a LootTableInfo$Builder
bfr$b LootTableInfo$TargetEntity
bfr$b$a LootTableInfo$TargetEntity$Serializer
bfs LootTableLootPoolEntry
bft LootTableManager
bft$a LootTableManager$CacheLoader
bfu MinMaxValue
bfu$a MinMaxValue$Serializer
bfv RandomEnchantingLootItemFunction
bfv$a RandomEnchantingLootItemFunction$Serializer
bfw EnchantingWithLevelsLootItemFunction
bfw$a EnchantingWithLevelsLootItemFunction$Serializer
bfx LootItemFunction
bfx$a LootItemFunction$Serializer
bfy LootItemFunctionManager
bfy$a LootItemFunctionManager$Serializer
bfz LootingEnchantingLootItemFunction
bfz$a LootingEnchantingLootItemFunction$Serializer
bga SetAttributesLootItemFunction
bga$a SetAttributesLootItemFunction$Modifier
bga$b SetAttributesLootItemFunction$Serializer
bgb SetCountLootItemFunction
bgb$a SetCountLootItemFunction$Serializer
bgc SetDamageLootItemFunction
bgc$a SetDamageLootItemFunction$Serializer
bgd SetDataLootItemFunction
bgd$a SetDataLootItemFunction$Serializer
bge SetNBTLootItemFunction
bge$a SetNBTLootItemFunction$Serializer
bgf FurnaceSmeltLootItemFunction
bgf$a FurnaceSmeltLootItemFunction$Serializer
bgi EntityScoresLootCondition
bgi$a EntityScoresLootCondition$Serializer
bgj LootCondition
bgj$a LootCondition$Serializer
bgk LootConditionManager
bgk$a LootConditionManager$Serializer
bgl EntityPropertiesLootCondition
bgl$a EntityPropertiesLootCondition$Serializer
bgm KilledByPlayerLootCondition
bgm$a KilledByPlayerLootCondition$Serializer
bgn RandomChanceLootCondition
bgn$a RandomChanceLootCondition$Serializer
bgo RandomChanceWithLootingLootCondition
bgo$a RandomChanceWithLootingLootCondition$Serializer
bgq LootEntityProperties
bgr LootEntityProperty
bgr$a LootEntityProperty$Serializer
bgs OnFireLootEntityProperty
bgs$a OnFireLootEntityProperty$Serializer
bgv FileIOThread
bgw AsyncChunkLoader
bgz AxisAlignedBB
bh CommandManager
bha RayTraceHitResult
bha$a RayTraceHitResult$Type
bhc Vector
bhe ScoreboardObjective
bhf ScoreboardTeam
bhg ScoreboardScore
bhi Scoreboard
bhj ScoreboardNBTSerializer
bhk AbstractScoreboardTeam
bhk$a AbstractScoreboardTeam$CollisionRule
bhk$b AbstractScoreboardTeam$NameTagVisibility
bhl IntegerScoreboardCriterion
bhm BaseScoreboardCriterion
bhn HealthScoreboardCriterion
bho ScoreboardCriterion
bho$a ScoreboardCriterion$RenderType
bhp UnmodifiableScoreboardCriterion
bhq StatisticScoreboardCriterion
bi AbstractCommand
bi$a AbstractCommand$TeleportationCoordinates
bj AbstractCommandHandler
bk Command
bl CommandHandler
bm CustomFunction
bm$a CustomFunction$FunctionReference
bm$b CustomFunction$CommandExecuteTask
bm$c CustomFunction$FunctionTask
bm$d CustomFunction$FunctionExecuteTask
bn CommandSender
bo WrappedCommandSender
bp CommandResultStats
bp$a CommandResultStats$Result
bq TargetSelectors
br AdvancementCommand
br$a AdvancementCommand$Action
br$b AdvancementCommand$Filter
bs BanIpCommand
bt BanListCommand
bu BanCommand
bv BlockDataCommand
bw ClearCommand
bx CloneCommand
bx$a CloneCommand$BlockData
by DeopCommand
bz DebugCommand
c CrashDetailCollector
c$a CrashDetailCollector$Detail
ca DefaultGamemodeCommand
cb EffectCommand
cc MeCommand
cd EnchantCommand
ce EntityDataCommand
cf ExecuteCommand
cg XpCommand
ch FillCommand
ci FunctionCommand
cj DifficultyCommand
ck GamemodeCommand
cl GameruleCommand
cm GiveCommand
cn HelpCommand
co KickCommand
cp KillCommand
cq ListCommand
cr LocateCommand
cs TellCommand
ct OpCommand
cu PardonIpCommand
cv PardonCommand
cw ParticleCommand
cx PlaySoundCommand
cy PublishCommand
cz RecipeCommand
d CrashReportEntry
da ReloadCommand
db ReplaceItemCommand
dc SaveAllCommand
dd SaveOffCommand
de SaveOnCommand
df SayCommand
dg ScoreboardCommand
dh RegistrationCommandManager
di SetBlockCommand
dj SetIdleTimeoutCommand
dk SpawnpointCommand
dl SetWorldSpawnCommand
dm SeedCommand
dn SpreadPlayersCommand
dn$a SpreadPlayersCommand$HorizontalPlanePosition
dp StatsCommand
dq StopCommand
dr StopSoundCommand
ds SummonCommand
dt TeleportCommand
du TellRawCommand
dw TestForBlockCommand
dx TestForBlocksCommand
dy TestForCommand
dz TimeCommand
ea TitleCommand
eb ToggleDownfallCommand
ec TpCommand
ed TriggerCommand
ee WeatherCommand
ef WhitelistCommand
eg WorldBorderCommand
ei CommandException
ej EntityNotFoundException
ek InvalidBlockStateException
el InvalidNumberException
em InvalidSyntaxException
en PlayerNotFoundException
eo CommandNotFoundException
ep UsageException
et BlockPosition
et$a BlockPosition$MutableBlockPosition
et$b BlockPosition$PooledMutableBlockPosition
eu SourceBlock
ev DispensedSourceBlock
ew IteratorUtils
ew$a IteratorUtils$ArrayToList
ew$b IteratorUtils$ClassIterable
ew$b$a IteratorUtils$ClassIterable$ClassIterator
ex DroppedItemDispenseBehaviour
ey DefaultedMappedRegistry
ez DefaultedRegistry
f CrashException
fa Direction
fa$a Direction$Axis
fa$b Direction$AxisDirection
fa$c Direction$Plane
fb DispenseBehaviour
fc Registry
fd IntegerRegistry
fe SourceLocation
ff Source
fg MapIteratorUtils
fh BiIntegerRegistry
fi NonNullList
fj Particles
fk Position
fl DispensedPosition
fm RegisteringRegistry
fn FloatVector
fo SimpleRegistry
fq SimpleBlockPosition
ft I18N
fu LanguageMap
fw ByteArrayNBTTag
fx ByteNBTTag
fy CompoundNBTTag
fz DoubleNBTTag
g Constants
ga EndNBTTag
gb FloatNBTTag
gc IntArrayNBTTag
gd IntNBTTag
ge ListNBTTag
gf LongArrayNBTTag
gg LongNBTTag
gh NBTReadRestrictor
gi NBTIO
gj GameProfileSerializer
gk NumberNBTTag
gl ShortNBTTag
gm StringNBTTag
gn AbstractNBTTag
go NBTParseException
gp NBTParser
gr ProtocolEncryptionHandler
gs PacketDecrypter
gt PacketEncrypter
gu PacketDecompressor
gv PacketCompressor
gw PlayerConnection
gw$a PlayerConnection$QueuedPacket
gx Protocol
gy PacketSerializer
gz PacketDecoder
h MiscUtils
ha PacketEncoder
hb PacketHandler
hc PacketSplitter
hd PacketPrepender
he AbstractChatComponent
hf ChatMessageType
hg ComponentClickEvent
hg$a ComponentClickEvent$Action
hh ChatComponent
hh$a ChatComponent$ChatSerializer
hi ChatComponentUtil
hj ComponentHoverEvent
hj$a ComponentHoverEvent$Action
hk KeybindChatComponent
hl ScoreChatComponent
hm SelectorChatComponent
hn ChatComponentStyle
hn$a ChatComponentStyle$Serializer
ho TextChatComponent
hp TranslatableChatComponent
hq ChatFormatException
ht Packet
hu ProtocolDirection
hv PacketThreadEnsurer
hw ClientboundPlayPacketHandler
hx ClientboundSpawnEntityPacket
hy ClientboundSpawnExperienceOrbPacket
hz ClientboundSpawnLightningPacket
i Advancement
i$a Advancement$TaskAdvancement
ia ClientboundSpawnMobPacket
ib ClientboundSpawnPaintingPacket
ic ClientboundSpawnPlayerPacket
id ClientboundAnimationPacket
ie ClientboundStatisticsPacket
ig ClientboundBlockBreakAnimationPacket
ih ClientboundUpdateTileEntityPacket
ii ClientboundBlockActionPacket
ij ClientboundBlockChangePacket
ik ClientboundBossBarPacket
ik$a ClientboundBossBarPacket$Action
il ClientboundServerDifficultyPacket
im ClientboundTabCompletePacket
in ClientboundChatMessagePacket
io ClientboundMultiBlockChangePacket
io$a ClientboundMultiBlockChangePacket$BlockEntry
ip ClientboundConfirmTransactionPacket
iq ClientboundCloseWindowPacket
ir ClientboundOpenWindowPacket
is ClientboundWindowItemsPacket
it ClientboundWindowPropertyPacket
iu ClientboundSetSlotPacket
iv ClientboundSetCooldownPacket
iw ClientboundPluginMessagePacket
ix ClientboundNamedSoundEffectPacket
iy ClientboundDisconnectPlayPacket
iz ClientboundEntityStatusPacket
j AdvancementRegistry
j$a AdvancementRegistry$RegisteringListener
ja ClientboundExplosionPacket
jb ClientboundUnloadChunkPacket
jc ClientboundChangeGameStatePacket
jd ClientboundKeepAlivePacket
je ClientboundChunkDataPacket
jf ClientboundEffectPacket
jg ClientboundParticlePacket
jh ClientboundJoinGamePacket
ji ClientboundMapPacket
jj ClientboundEntityPacket
jj$a ClientboundEntityPacket$RelativeMove
jj$b ClientboundEntityPacket$RelativeMoveAndLook
jj$c ClientboundEntityPacket$Look
jk ClientboundVehicleMovePacket
jl ClientboundOpenSignEditorPacket
jm ClientboundPlayerAbilitiesPacket
jn ClientboundCombatEventPacket
jn$a ClientboundCombatEventPacket$Type
jo ClientboundPlayerInfoPacket
jo$a ClientboundPlayerInfoPacket$Action
jo$b ClientboundPlayerInfoPacket$PlayerEntry
jp ClientboundPositionAndLookPacket
jp$a ClientboundPositionAndLookPacket$Flags
jq ClientboundUseBedPacket
jr ClientboundUnlockRecipesPacket
jr$a ClientboundUnlockRecipesPacket$Action
js ClientboundDestroyEntitiesPacket
jt ClientboundRemoveEntityEffectPacket
ju ClientboundSendResourcePackPacket
jv ClientboundRespawnPacket
jw ClientboundEntityHeadLookPacket
jx ClientboundSelectAdvancementTabPacket
jy ClientboundWorldBorderPacket
jy$a ClientboundWorldBorderPacket$Action
jz ClientboundCameraPacket
k AdvancementProgress
k$a AdvancementProgress$Serializer
ka ClientboundHeldItemChangePacket
kb ClientboundDisplayScoreboardPacket
kc ClientboundEntityMetadataPacket
kd ClientboundAttachEntityPacket
ke ClientboundEntityVelocityPacket
kf ClientboundEntityEquipmentPacket
kg ClientboundSetExperiencePacket
kh ClientboundUpdateHealthPacket
ki ClientboundScoreboardObjectivePacket
kj ClientboundSetPassengersPacket
kk ClientboundTeamsPacket
kl ClientboundUpdateScorePacket
kl$a ClientboundUpdateScorePacket$Action
km ClientboundSpawnPositionPacket
kn ClientboundTimeUpdatePacket
ko ClientboundTitlePacket
ko$a ClientoundTitlePacket$Action
kp ClientboundSoundEffectPacket
kq ClientboundPlayerListHeaderAndFooterPacket
kr ClientboundCollectItemPacket
ks ClientboundEntityTeleportPacket
kt ClientboundAdvancementsPacket
ku ClientboundEntityProperties
ku$a ClientboundEntityProperties$Attribute
kv ClientboundEntityEffectPacket
kw ServerboundPlayPacketHandler
kx ServerboundTeleportConfirmPacket
ky ServerboundPrepareCraftingGridPacket
ky$a ServerboundPrepareCraftingGridPacket$Entry
kz ServerboundTabCompletePacket
l AdvancementRewards
l$a AdvancementRewards$Serializer
la ServerboundChatMessagePacket
lb ServerboundClientStatusPacket
lb$a ServerboundClientStatusPacket$Status
lc ServerboundClientSettingsPacket
ld ServerboundConfirmTransactionPacket
le ServerboundEnchantItemPacket
lf ServerboundClickWindowPacket
lg ServerboundCloseWindowPacket
lh ServerboundPluginMessagePacket
li ServerboundUseEntityPacket
li$a ServerboundUseEntityPacket$Type
lj ServerboundKeepAlivePacket
lk ServerboundPositionPacket
lk$a ServerboundPositionPacket$Position
lk$b ServerboundPositionPacket$PositionAndLook
lk$c ServerboundPositionPacket$Look
ll ServerboundVehicleMovePacket
lm ServerboundSteerBoatPacket
ln ServerboundPlayerAbilitiesPacket
lo ServerboundPlayerDiggingPacket
lo$a ServerboundPlayerDiggingPacket$Status
lp ServerboundEntityActionPacket
lp$a ServerboundEntityActionPacket$Action
lq ServerboundSteerVehiclePacket
lr ServerboundCraftingBookDataPacket
lr$a ServerboundCraftingBookDataPacket$Type
ls ServerboundResourcePackStatusPacket
ls$a ServerboundResourcePackStatusPacket$Status
lt ServerboundAdvancementTabPacket
lt$a ServerboundAdvancementTabPacket$Action
lu ServerboundHeldItemChangePacket
lv ServerboundCreativeInventoryAction
lw ServerboundUpdateSignPacket
lx ServerboundAnimationPacket
ly ServerboundSpectatePacket
lz ServerboundBlockPlacementPacket
m AdvancementTriggers
ma ServerboundUseItemPacket
mc ServerboundHandshakePacket
md ServerboundHandshakingPacketHandler
mf ClientboundLoginPacketHandler
mg ClientboundLoginSuccessPacket
mh ClientboundEncryptionRequestPacket
mi ClientboundSetCompressionPacket
mj ClientboundDisconnectLoginPacket
mk ServerboundLoginPacketHandler
ml ServerboundLoginStartPacket
mm ServerboundEncryptionResponsePacket
mp ClientboundStatusPacketHandler
mq ClientboundPongPacket
mr ClientboundStatusResponsePacket
ms ServerStatus
ms$a ServerStatus$PlayerSample
ms$a$a ServerStatus$PlayerSample$Serializer
ms$b ServerStatus$Serializer
ms$c ServerStatus$Version
ms$c$a ServerStatus$Version$Serializer
mt ServerboundStatusPacketHandler
mu ServerboundPingPacket
mv ServerboundStatusRequestPacket
mx MetadataWatcherEntry
my MetadataWatcherSerializer
mz MetadataWatcherSerializers
n Criterion
na MetadataWatcher
na$a MetadataWatcher$Entry
nd NamespacedIdentifier
nd$a NamespacedIdentifier$Serializer
nf ProjectileDispenseBehaviour
ng RegistryManager
ng$a RegistryManager$BoatBehaviour
ng$b RegistryManager$FailableBehaviour
ng$c RegistryManager$ShulkerBoxBehaviour
ni QueuedCommand
nk DebuggingOutputStream
nl EULA
nm RedirectStream
nn PlayerAdvancementData
np ThreadEnsureException
nq WorldAdvancementData
nr CustomFunctionManager
nr$a CustomFunctionManager$FunctionTaskExecutor
ns Server
nt ServerScoreboard
nu ServerProperties
nv Tickable
nw BanHoldingPlayerList
nx DedicatedMinecraftServer
ny WatchdogThread
o CriterionProgress
oa ServerGui
ob PlayerListGuiComponent
oc StatisticsGuiComponent
og DemoWorld
oh DemoPlayerInteractionHandler
oi WorldWrapper
oj EntityTracker
ok BossBar
ol ServerChunkCache
om World
om$a World$BlockActionList
on TrackingWorldListener
oo PlayerEntity
op PlayerInteractionHandler
oq EntityTrackerEntry
or PlayerChunkManagerEntry
os PlayerChunkManager
ov LegacyQueryHandler
ox ServerConnection
oy PlayPacketHandler
oz HandshakingPacketHandler
p AdvancementTrigger
p$a AdvancementTrigger$Checker
pa LoginPacketHandler
pa$a LoginPacketHandler$State
pb StatusPacketHandler
pe AbstractBanListEntry
pf PlayerListFileManager
pf$a PlayerListFileManager$Entry
pf$b PlayerListFileManager$EntrySerializer
pg IpBanList
ph IpBanListEntry
pi PlayerListFileConverter
pi$a PlayerListFileConverter$ConversionException
pj PlayerList
pk OpList
pl OpListEntry
pm JsonListEntry
pn JsonList
pn$a JsonList$Serializer
po BanList
pp BanListEntry
pq WhiteList
pr WhiteListEntry
pt ExtendedStatusQueryResponse
pu RconUtils
pv RconCommandSender
px RemoteConnectionThread
py ExtendendStatusQueryHandler
py$a ExtendendStatusQueryHandler$RemoteStatusChallenge
pz RconHandler
q CriterionInstance
qa RconListener
qc Sound
qd Sounds
qe SoundCategory
qh CountingStatistic
qi CraftingStatistic
qj RecipeBook
qk LoadingRecipeBook
ql LoadingStatisticManager
qm Statistic
qn StatisticFormatter
qo WrappedStatistic
qp IJsonStatistic
qq Statistics
qr StatisticManager
qu BitArray
qv EntityChunkManager
qx SimpleIntegerRegistry
qy EncryptionHelper
r AdvancementDisplaySettings
ra JsonSerializationHelper
rb HttpHelper
rc CaseIgnoringStringMap
re IntHashMap
re$a IntHashMap$Helper
rf DelayedInitReference
rh ChatComponentTypeAdapterFactory
ri MathHelper
rj MethodProfiler
rj$a MethodProfiler$SectionResult
rk ProgressListener
rm Named
rn ColourUtil
rp Pair
rq WeightedRandom
rq$a WeightedRandom$Choice
rs DataConverter
rt DataConversionTypeList
ru DataConversionTypes
rv ConversionManager
rw DataConverterManager
rx DataConverters
ry DataConversionDelegater
rz BedBlockToTileEntityConverter
s AdvancementFrame
sa BedItemConverter
sb TileEntityIdConverter
sc MobSpawnerConverter
sd ShulkerBoxBlockConverter
se SignConverter
sf ArmourStandConverter
sg GuardianConverter
sh EquipmentConverter
si HealthConverter
sj SaddleConverter
sk HorseConverter
sl EntityIdConverter
sm MinecartConverter
sn StationaryEntityConverter
so DropChancesConverter
sp MountConverter
sq ShulkerConverter
sr SkeletonConverter
ss UUIDConverter
st ZombieTypeConverter
su ZombieConverter
sv BannerConverter
sw CookedFishConverter
sx NumericalMaterialIdConverter
sy NumericalPotionIdConverter
sz ShulkerBoxItemConverter
t AdvancementTree
ta SpawnEggConverter
tb TotemConverter
tc EffectlessPotionConverter
td BookConverter
te VBOConverter
tf LangConverter
ti ItemConversionDelegater
tj BlockEntityConversionDelegater
tk EntityConversionDelegater
tl ItemListConversionDelegater
tm NameConversionDelegater
tp MainThreadTaskProcessor
tr AbstractBossBar
tr$a AbstractBossBar$Colour
tr$b AbstractBossBar$Style
ts DoubleChestInventory
tt Inventory
tu ContainerHelper
tv InventoryListener
tw DroppingUtils
tx Difficulty
ty DamageScaler
tz Hand
u AbstractCriterionInstance
ua ContainerTileEntity
ub InteractionResult
uc InteractionResultValuePair
ue ContainerLock
uf LockableContainer
ug NamableTileEntity
uh Lootable
ui ComponentInventory
uj Snooper
uk MojangStatisticsHandler
ul HopperInteractingInventory
um CombatTrackerEntry
un CombatMathHelper
uo CombatTracker
up DamageCause
uq EntityDamageCause
ur IndirectEntityDamageCause
ut AbsorptionStatusEffect
uu StrengthStatusEffect
uv HealthBoostStatusEffect
uw InstantStatusEffect
ux StatusEffect
uy StatusEffectInstance
uz StatusEffects
v AdvancementTriggerBreedAnimals
v$a AdvancementTriggerBreedAnimals$Checker
v$b AdvancementTriggerBreedAnimals$CheckerInstance
vb BreedingEntity
vc AreaEffectCloudEntity
vd Animal
ve Entity
vg Entities
vg$a Entities$EntityInfo
vi EntityPredicates
vi$a EntityPredicates$EquipmentHolder
vj ItemSlot
vj$a ItemSlot$Type
vk ExperienceOrbEntity
vl AbstractGhast
vm MainHand
vn LivingEntity
vo AbstractPathfinderEntity
vo$a AbstractPathfinderEntity$EnvironmentType
vp CreatureType
vq EntityGroupInfo
vr EntityEnvironmentTypes
vs MonsterType
vt MoveCause
vu OwnedEntity
vv PathfinderEntity
vx Jumping
vz TameableEntity
w AdvancementTriggerBrewPotion
w$a AdvancementTriggerBrewPotion$Checker
w$b AdvancementTriggerBrewPotion$CheckerInstance
wa Attribute
wb AttributeInstance
wc AttributeModifier
wd AbstractAttribute
we AbstractAttributeManager
wf MutableAttributeInstance
wg AttributeManager
wh ClampedAttribute
wj BodyController
wl FlyingMoveController
wm JumpController
wn LookController
wo MoveController
wo$a MoveController$Operation
wq AvoidEntityGoal
wr BeggingGoal
ws BreakDoorGoal
wt BreedGoal
wu InteractWithDoorGoal
wv EatGrassGoal
ww FleeFromSunGoal
wx FloatGoal
wy FollowMobGoal
wz ParrotFollowOwnerGoal
x AdvancementTriggerChangeDimension
x$a AdvancementTriggerChangeDimension$Checker
x$b AdvancementTriggerChangeDimension$CheckerInstance
xa FollowOwnerGoal
xb FollowParentGoal
xc PathfinderGoal
xd PathfinderGoalSelector
xd$a PathfinderGoalSelector$Entry
xe HarvestGoal
xf InteractGoal
xg SitOnShoulderGoal
xh LeapAtTargetGoal
xi LlamaFollowCaravanGoal
xj LookAtTargetGoal
xk LookAtInteractingPlayerGoal
xl VillagerBreedGoal
xm MeleeAttackGoal
xn GoInsideGoal
xo MoveThroughVillageGoal
xp GotoLocationGoal
xq MoveTowardsBoundaryGoal
xr IronGolemMoveTowardsTargetGOal
xs OcelotAttackGoal
xt OcelotJumpOnBlockGoal
xu GiveFlowerGoal
xv OpenDoorGoal
xw PanicGoal
xx VillagerPlayGoal
xz FaceRandomGoal
y AdvancementTriggerConstructBeacon
y$a AdvancementTriggerConstructBeacon$Checker
y$b AdvancementTriggerConstructBeacon$CheckerInstance
ya WanderGoal
yb RangedAttackGoal
yc ShootBowGoal
yd RestrictOpenDoorGoal
ye AvoidSunGoal
yf HorseTamingGoal
yg SitDownGoal
yh CreeperSwell
yi AcceptFlowerGoal
yj TemptGoal
yk TradeWithPlayerGoal
yl VillagerShareFoodGoal
ym FlyRandomlyGoal
yn WanderRandomlyGoal
yo RaiseHandsAttackGoal
yq VillageAttackerSelector
yr AttackedSelector
ys NearestAttackableLivingEntitySelector
yt NearestAttackablePlayerSelector
yu NearestAttackablePathfinderMobSelector
yu$a NearestAttackablePathfinderMobSelector$DistanceComparator
yv NearestAttackableNonTamedSelector
yw OwnerHurtBySelector
yx OwnerAttackSelector
yy GoalTargetSelector
z AdvancementTriggerConsumeItem
z$a AdvancementTriggerConsumeItem$Checker
z$b AdvancementTriggerConsumeItem$CheckerInstance
za FlightNavigator
zb Navigator
zc AbstractNavigator
zd NavigationWorldListener
ze SpiderNavigator
zf WaterNavigator
zh EntitySight
zj RandomLocationGenerator
zl VillageDoor
zm Village
zm$a Village$Attacker
zn VillageAttackManager
zo VillageManager
zq AbstractBatEntity
zr BatEntity
zt AnimalEntity
zu ChickenEntity
zv CowEntity
zw BirdEntity
zx GolemEntity
zy MooshroomEntity
zz OzelotEntity
